New_clientroomId	New_name
ED0980D8-F8B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Louisa May Alcott 302
36373BF7-F8B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Grace Kelly 301
8A066313-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Kelly 206
E81E1D31-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Delaware 204
F7213550-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Columbus 203
02B1936C-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Gulph 201
154B0589-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Independence Square 104
A67A0AA6-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Headhouse Square 102
E55EF1BC-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Drexel 007
7A026ED6-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - St. Josephs 009
6A78D8F2-F9B9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Robert Fulton 628
F35E8D14-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - James Buchanan 627
49495231-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Alexander Calder 624
B0649848-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - John Bartrum 623
5326C268-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Jim Thorpe 621
6BB0677E-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - 504
787D87A2-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - George Dallas 618
C69A76BA-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Anna Dickinson 617
911785E4-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Noam Chomsky 616
EA98A3FE-FAB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Pearl Buck 610
4BCC7E29-FBB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Ann Bates 609
97D6DB53-FBB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - River 202
2FD3746F-FBB9-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Carpenter's Hall 103
991FBB34-02BA-E511-9C31-005056861309	DTS - Meridain St Catherines
00794660-02BA-E511-9C31-005056861309	DTS- Meridian 704
CA4E6973-02BA-E511-9C31-005056861309	DTS- Merdian 703
47D1AC8C-02BA-E511-9C31-005056861309	DTS- Meridian 607
